,Phrase,Classe réelle,Classe prédite
0,c est donc dan cet esprit que je sui venu aujourd hui ,-1,-1
1,si ce mouvement se poursuit d une facon raisonn san pousser plu qu il ne convient au depart ce depart absorbera cett baiss de product de consenti pour la franc a compar avec le a de la baiss de product allemand ou anglais ,1,1
2,ell sont troi facon de regard la franc a partir du colleg de se citoyen de se territoir et de se forc economiqu et social ,-1,-1
3,c est notr fiert ,-1,-1
4,cent foi ell aurait pu se separ se defair se dissoci ,-1,-1
5,voila ce que je voulai vou dire sur ce negoci en prealabl a mon propo ,-1,-1
6,ell va s elargir ver l est ,-1,-1
7,ell y ont puis leur compet et cela leur permet de triompher sur bien de march mondiaux ,1,-1
8,mai enfin ce que l on appel le techniqu technolog de point bien qu il faill dire tout simplement techniqu de point c est cell par lesquel il faut passer necessair si l on veut que dan le tou prochain moi en tout ca le tre prochain anne la franc ne soit pa distance par de pay comm le japon ou le etat uni d ameriqu ,1,1
9,au dema de no partenair europeen rendon hommag a cett occas au role qu ont joue le etat uni a partir de date l union sovietiqu a partir de date pour accompagn la jeun agenc qu etait alor le centr nation d etud spatial ,1,-1
10,je souhait que le diver travaux entrepri a l initi du g notam par le gafi ou dan d autr enceint sur le control de centr off shore puissent progress et que le projet de direct europeenn sur le blanchiment de capitaux aboutiss rapid ,-1,-1
11,et d abord en donnant tout son ampleur a la cooper que nou avon su nouer dan le domain administratif et juridiqu ,-1,-1
12,c est pourquoi le princip de notr politiqu d equip seront debattu au parlement sur la base de l audit qui s achev et de proposit qu elaborera la datar ,-1,-1
13,ce sont le allianc francais reparti sur l ensembl de votr pay ,-1,-1
14,la naissanc de l euro sera une contribut majeur a un meilleur equilibr du system monetair intern ,-1,-1
15,vivr en republiqu c est etr en quelqu sort parti prenant d une communaut de vie et de destin co respons du bien commun un bien qui depass chacun de nou san lequel personn n aurait la moindr chanc de trouver harmonieus sa place dan la societ ,-1,-1
16,voila me cher compatriot l essentiel du messag que j ai souhait transmettr au nom de la franc a me interlocuteur tunisien dan le cadr de ce partenariat privilegi dont vou ete le acteur essentiel ,-1,-1
17,nou n avon pa oubli vo soldat et vo pilot qui ont combattu en date et date avec l arme francais j ai ete heureux de saluer hier avec respect certain d entr eux ,-1,-1
18,ce vingt action pour l an date que nou avon adopte hier donnent et donneront une dimens nouvel a no relat ,-1,-1
