,Phrase,Classe réelle,Classe prédite
0,hong kong cinema ha been go through a bad spell the last few product have been effect lade action adventur that combin both the best and worst of american filmmak with the same qualiti of hong kong film in a nutshel the current crop of film from hong kong ha been maddeningli convolut and visual sumptuou with the one time british coloni revert back to mainland ownership a lot of hong kong s best talent have cross the pacif to work on u s product such talent as jacki chan rush hour chow yun fat anna the king the corrupt and yuen woo ping the matrix have all move into the budget bloat world of hollywood filmmak with mix result now we can add two other hong kong filmmak to the mix with star jet li and director and fight choreograph corey yuen kwai unfortun romeo must die bear all the trademark of a typic hollywood action film and none of hong kong s rhythm the film open in a nightclub as an asian coupl is neck enter a group of chines gangster led by kai sing russel wong kai confront po sing jon kit lee the son of kai s boss and leader of the local chines famili a battl break out between the bodyguard of the club and kai who handili kick and punch hi oppon down it s not until club owner silk rapper dmx bear down on kai and hi henchmen that the fight end the follow morn po sing is found dead suspicion escal as issac o day delroy lindo is told of the murder hi concern that the war between hi and the chines famili may explod and ruin hi plan to move out of the busi of corrupt and into a legitim ventur issac implor hi chief of secur mac issiah washington to watch after hi son and daughter the scene shift to a prison in china where han sing jet li learn of hi brother murder he fight with the guard and is drag off to be disciplin hung upsid down by one foot han recov and battl hi way out of custodi in a blister display of fight choreographi and stunt work escap to the u s han set out to find the person respons for hi brother s death romeo must die is in mani way a fun film it is both absurd and assur the basic plot of a gangster want to becom legitim echo the godfath the relationship between jet li s han and aaliyah s trish o day remind us of abel ferrera s china girl except that romeo must die s coupl never onc exchang more than a love glanc toward one anoth their romanc is much more puritan than ani other romanc in film histori the perform are adequ if not fulli accept li of cours ha the showiest part have to express both an innoc and steadfast determin allayah in her featur film debut manag to carri what littl is ask of her with a certain style and grace it s obviou that the camera love her and she is veri photogen but still the part is under written in such a way that even a poor perform would not have affect it delro lindo as issac o day carri himself well in the film an unsung and under appreci actor mr lindo turn out the film best perform the other perform are all adequ in what the script ask of them except for d b woodsid as issac s son colin the perform is undirect with the charact chang hi tone and demeanor in accord with whatev locat he is in an unfocus perform that should have been reign in and or better written first time director andrzej bartkowiak doe a workmanlik job in handl the film have a career as one of the industri s best cinematograph bartkiwiak know how to set up hi shot and romeo must die doe look good but the pace of the film is letharg onli come to a semblanc of life dure the fight scene the script by eric bernt and john jarrel is not focus in such a way that we can care about the charact or the situat they are in the big gambit of buy up waterfront properti to facilit the build of a sport center for a nfl team is needlessli confus and of cours the common practic of one charact be the comic relief of the film becom pain obviou here as anthoni anderson as allayah s bodyguard mauric ha no comic time whatsoev the best thing about the film are it fight scene jet li is a master of these intric physic battl one need onli to see hi film fist of legend to understand that the man is without peer in the realm of martial art combat here jet is given the opportun to show off in a way that lethal weapon jet s u s debut didn t allow unfortun a lot of jet s fight are aid with comput effect that detract from hi abil and precis also romeo must die must be note as have the most singularli useless effect ever commit to film and that is an x ray effect that appear three time dure the cours of the film show the effect of bone crush blow on an oppon obvious a homag to the fame x ray scene from sonni chiba s streetfight the scene here are just pointless and interfer with the pace of the film it s as if the film ha stop and a video game ha been insert one problem though about the fight scene those that are familiar with hong kong action know that even though the film are fantasi and are as remov from realiti as ani anim or cartoon they do have an intern rhythm to them a heartbeat so to speak in their choreographi the fight scene in a hong kong film breath with an emot reson thi is creat by the perform the direct and the edit here in romeo must die there is no staccato everi fight scene even though technic adroit and amaz becom bore as the edit both cut away from battl at hand and simpl follow a set pattern the rhythm is monoton a hong kong film ha a tempo that chang heighten it emot impact rmd is limit to a standard tempo not allow for ani emot content whatsoev a fine exampl of thi differ can be found by examin a coupl of jacki chan s film watch the restaur fight from the film rush hour and notic that the context of the fight while technic amaz is rather flat the frame and cut alway do not help now look at the warehous fight from rumbl in the bronx there you have a heartbeat and emot draw that doesn t let the audienc catch it breath the stop and paus for dramat effect work perfectli caus the viewer to be both astound and flabbergast here in romeo must die the fight scene have no more emot content or charact than ani john wayn barroom brawl jet li is a grand and person screen presenc it s a shame that hi full talent were not use to full effect here one day filmmak here in the u s will stop make film by the number and start to embrac the style and emot that ha made hong kong action pictur such a commod until then we ll be left with emot hollow product like the replac killer and current romeo must die ,0,1
1,i love thi movi and i ve just seen for the umptenth time unfortun it is also completli unknown and veri few have seen it it s my mission in life to spread the word see thi movi fred georg doug and howi are reach middleag three of them have a wife kid and a hous in the suburb with a mortgag to pay onli fred is still a bachelor togeth they take the local train everi morn to work in town on one of their organ thursday even at a bar fred tell them of hi boss and the arrang he ha made to keep a mistress he ha gotten an apart in downtown where he can meet her but ha told hi wife that he need the apart to spend the night after staff meet everi thursday night sinc they alway split everyth four way they decid that they should get an apart with a young woman as well kathi howev kathi isn t completli honest to them in fact she is a sociolog student write a thesi about the sex life of the suburban male with these four speci she believ that she will make a veri good paper ok have one thing clear though the romant rendezv between kathi and each of the men are completli innoc the script stay abov the waist or to be precis abov the neck noboyd claim that kathi is their mistress the four guy call her their companion the censorship board here in sweden consid it to be suitabl onli for peopl abov year but that onli show how long ago wa small children could watch thi without be corrupt kim novak is as love as alway in thi movi even if she seem to be a bit too old for a student jame garner is the playboy just like in mani other movi i like howard morri the best as howard the account who ha to diet to support hi wife toni randal is funni as alway wa more than year ago how mani account copywrit or invest banker can today afford to live in a hous in the suburb with a lot of kid and a wife who doe not work thi is the white middl class i can t rememb that i saw ani black on the commut train they use these are the peopl who can count on their kid to live an even better life than themselv perhap thi should also be a subject for a thesi in movi sociolog ,1,1
2,avail in an all new video edit from arrow entertain with an introduct by david carradin written produc by wayn j keeley f w murnau s career end sadli and prematur the german director of such classic as sunris and the last laugh die in a car accid shortli after sign a deal to make american pictur at paramount murnau wa reportedli a giant man well over six feet a tower figur probabl incap of anyth but a grand entranc which bring us to nosferatu a symphoni of horror sure he felt a kinship with hi titl charact the loom vampir embodi by intimid max schreck in one of the most indel imag in film histori silent or otherwis schreck rise from hi grave gnarl hand outstretch and he s so big that part of hi head is crop by the top of the frame the plot of nosferatu is lift unauthor from bram stoker s dracula the british hutter is an eager real estat man assign to visit and discuss futur live arrang with count orlock of transylvania he leav behind girlfriend emili onli to discov orlock s secret he s a bloodsuck and struggl to return to england befor the nosferatu reach hi ladi love in addit to schreck s perform the cinematographi and effect are outstand arrow video s digit remast version of the classic is someth of a mix coffin the cover art featur a red tint hairi goate vampir stare straight at you hi fang mouth agap while the bodi of two sexi writh women entic you below troubl is murnau s monster is pale face bald pointi ear and non goate and there isn t a singl sexi writh woman to be found in hi movi thi sort of mislead packag make littl sens when one recal the countless number of ghouslish scene in the film from which cool cover art could have been extract addit notifi the viewer that thi is in fact murnau s film seem like afterthought sinc hi name and the genuin titl are written in small print below our goate vampir that said a good master job ha been perform on the film itself the origin element are not in the best condit non studio silent were unlucki in their preserv so we re still deal with a slightli wash out scratch jitter imag but at least the day and night scene are tint sepia and blue respect especi help to an audienc who may question nosferatu s waltz around dure what seem like sunlight it took a lot of light to expos stock in the twenti the titl card have been redon and they are legibl accur and digit alter to flicker a veri nice touch even the open copyright warn flicker the score ha been replac by music from type o neg a hard rock group arguabl gothic and their song underscor the film nice certainli the coolest video a band can ask for when our hero hutter first step onto the doom carriag to count orlock s castl we hear a well time now you re dead from lead singer peter steel david carradin make an appropri vampir host he fiddl with a blade and cane while introduc the film after the featur which run about minut is includ a new music video from type o neg the black and white fang fest black no of cours nosferatu a symphoni of horror is the main attract and while my latest view rais question whi is the woman call emili in the titl card but mina as bram stoker call her in hutter s letter for instanc it made me realiz how much thi movi ha inspir and been stolen from coppola s bram stoker s dracula owe a great stylist debt to murnau s masterpiec but the one thing it couldn t thiev wa the origin s abstract charm thi latest incarn from arrow will probabl like the rescor metropoli a few year back turn a silent film into more palpabl entertain for the latest gener of film freak ,1,1
3,the one question that eat at me after see corki romano is whi touchston spent so much money market thi throwaway film sinc june i haven t been abl to turn on the tv or go to the movi without get hit by some ad depict chri kattan as the spastic corki shriek out a ha s take on me in hi yellow miata whi would disney sink so much cash into the corki hype machin honestli i wa hope that all the goofbal ad were actual a front for a decent funni movi man wa i wrong corki romano is one of those throwaway clich ridden tv star to film vehicl built upon the most ricketi of plot fortun for chri kattan s precari posit career corki doe have some good laugh even if most of them are of the lowest brow varieti kattan play the titl charact the unsink assist veterinarian corki who ha a penchant for sunshini s tune bright tie and banal coffe mug slogan you don t have to be crazi to work here but it sure help when hi mob boss dad peter falk is about to be put away on murder charg hi bungl lughead brother peter berg and chri penn rope in innoc black sheep corki to infiltr the fbi as an agent and steal the evid predict hijink ensu if the basic plot sound bad wait until you get into the inner work of thi clunker the writer will amaz you with the depth of their inan corki s fbi agent ident is name corki pissant that s pronounc pee ahn it s french he becom a first rate agent by accident stumbl mr magoo style onto the proper clue and talk hi way in and out of situat which play like someth out of a sitcom and not a good sitcom i mean the romano famili brother even insult each other by fart in each other s face and in a scene taken straight from there s someth about mari corki give a dachshund mouth to mouth resuscit but it s not a complet disast the manic kattan doe occasion rescu some comic moment includ a bit featur a cat in a fat suit name jesu and anoth involv schoolchildren a german shephard and a kilo of cocain plu berg whose career ha obvious gone downhil sinc the last seduct and chicago hope give a great turn as the illiter brother pauli and it s nice to see that richard roundtre of shaft fame is get work unfortun for those out there who can t truli appreci anim or fart joke corki won t have much to offer you so the next time one of those peski ad appear on your tv ask who is corki you can simpli repli who care ,0,0
4,damn those trailer had it not been for the advertis of thi film which reveal far too much about it content i would have been glu to under the sand as it is the film retain some valu thank to an excel perform by charlott rampl and a more matur francoi ozon in the director s chair mari charlott rampl and her husband jean bruno cremer loung on the beach she take a nap while he goe for a swim when mari wake up jean is nowher to be found she contact author but they can t find him either did he disappear to start a new life wa he kill by accid did he commit suicid mari still ask herself these question a year later and in order to move on with her life she must find some answer it s a fine premis and thi littl movi use it to the limit the film move at a leisur pace a bit slow but relax it s a veri visual stori and you can pretti much just sit back without read the subtitl thi is mostli thank to the excel camera work by antoin heberl and jeann lapoiri who shot the film in a dreami haze and the lead perform by rampl rampl is so express in her portray of mari you connect with her charact instantli despit that she s delusion the scene where she interact with her husband who she still believ is aliv are heartbreak she can t quit get over him they ve been marri for twenti five year the other actor particularli jacqu nolot are excel too the sex in the film is rather unneed but compar to ozon s crimin lover it s the disney channel like to caus some discuss afterward under the sand is a fine movi go experi while it s hard to recommend as entertain it s a fine adult altern about how we deal with loss ozon seem to ask what you would do and that s certainli a hard question to answer ,1,1
5,lean mean escapist thriller are a tough product to come by most are unnecessarili complic and other have no sens of expedi the thrill ride effect get lost in the cumbersom plot perhap the ultim escapist thriller wa the fugit which featur none of the flash bang effect of today s market but rather a bread and butter textbook exampl of what a clever script and good direct is all about the latest toni scott movi enemi of the state doesn t make it to that level it s a true nineti product that run like greas lightn through a maze of cell phone and laptop comput without look back although director scott ha made misstep in the past such as the lame thriller the fan he s gener a good deal of energi in pictur like crimson tide and top gun that vibrant spirit is present here shown in well time and care plan chase scene that give the movi an aura of sheer speed enemi of the state also featur an unpreced use of amaz cinematographi director of photographi daniel mindel throw a stagger amount of differ view angl lens and film stock at the audienc that goe a long way toward involv the audienc in the movi enemi is truli a visual experi and that s onli one of the reason it s such a fun watch the movi light up with an age senat visit by nsa deputi chief thoma reynold jon voight reynold want a new commun act pass to allow the govern free reign in the use of surveil equip but the senat plan to buri the bill in committe reynold ha the senat of but not befor the murder is caught on a naturalist s camera by an extremist chain of event the tape end up in labor lawyer robert dean will smith s posess and it s not long befor he s run from reynold croni it s onli with the help of an ex spook name brill gene hackman that dean is abl to get to the bottom of thing the act is top notch and the three principl smith hackman and voight are gener more matur and excel all around smith put asid the wisecrack act and becom a normal human be voight tone down the amount of sneer he put into hi charact for greater ominpot and hackman is simpli over the top in the mysterioso role smith s regular joe come off particularli well as he run from authorti for reason that he know not the support are also in fine form lend credibl to the main role and advanc the plot in key area thi is for the holiday crowd the hot ticket as well as anyon look for a serv of genuin action in a market that is otherwis lack ,1,1
6,virtual realiti is a topic that ha almost defin it own genr sinc dark citi film about altern univers and parallel world have been come one after anoth the most popular and origin of them all ha been the matrix all the film releas after it have been less success david cronenberg s existenz releas onli a coupl of month after the matrix wa accept and even appreci by some but the hype wa gone and when the thirteenth floor air thi fall it wa complet overseen and ignor i admit that thi issu ha becom someth between tire and annoy feel like eat the same meal over and over again it wa therefor i wa less than excit when i went out to see to the thirteenth floor howev i wa posit surpris by josef rusnak s latest pictur matrix wa an entertain thrill ride through dream and realiti combin the best of hollywood s action and effect with an intellig stori existenz wa a violent gori and unsettl journey through realiti and virtual realiti end in blood and mad the thirteenth floor is somewher in between instead of go after the crowd the action audienc like the matrix or aim at the horror fan like existenz the thirteenth floor present a more intellig plot witch will provid a less entertain and more seriou experi that the true scienc fiction lover will find reward in a near futur on the thirteenth floor of a classifi build a geniu scientist hannon fuller ha creat a simul world hi person dreamworld where everi inhabit is a complex selflearn program that onli believ it is real right after the first test of thi world fuller is found murder dougla hall hi closest friend and busi partner immedi becom the prime suspect and must enter through the thirteenth floor in search of the truth a beauti woman gretchen mol who suddenli appear on the scene may hold the key to the mysteri which might unravel the horrifi truth about hi own exist the first download into simul is impress it is the creator s first visit to hi world hi creation in order to enter thi virtual univers you have to take over someon s ident becom anoth person thi is call concis transfer and thi is part of the tragedi in the film peopl wake up in unknown place and strang thing start happen they start to doubt in their own saniti these innoc peopl pay for the mistak of their user and creator with their saniti and their live it is a frighten realiti the fact that all the peopl in the simul the program link are live out their live oblivi not know that they are puppet in someon s fantasi with an appeal blade runner type of detect stori thi film present the beauti and possibl of virtual realiti and the lurk danger that is alway present our modern world is metal and glass cold unfriendli imperson the thirti are differ color beauti eleg viril thi contrast demonstr a wish for chang virtual realiti is here portray as a magic enchant power that seduc you into it endless possibl to some it is just a journey to their person paradis to some a person playground a life without ani consequ for other a way to start over and correct their mistak by live in an illus of their past virtual realiti is a wizard that transform your hope dream and fantasi to life at least that s how it is all begin but when you re wake up from your dream the real world seem worthless and unreal and all you can think off is return to your person paradis thi almost narcot effect soon turn into confus and ultim mad some import and interest philosoph question are rais what is real what is thought who are we if these were answer thi film would be the greatest scienc fiction ever made they are off cours not answer but pose in an intellig manner the visual aspect of the film is one of the key element sinc it portray the contrast between these comput simul univers kirk m petrucelli ha done a marvel job with the recreat of the thirti with it glamour grace and color and set thi world in opposit to our own an almost caricatur recreat of the nineti there are some honest and decent perform by an almost unknown cast and harald klose s moodi music score that is at in right place at the right time a rather unusu thing about the thirteenth floor is the almost complet lack of special effect there are no cgi anim creatur no bullet in slow motion thi is a more philosoph approach remind about the european way of filmmak thi is off cours a major disappoint to the audienc that is use to endless gunfight and mutat amphibian but the more seriou scienc fiction buff and dark citi fan will be pleas thi film is interest and inspir it ha everyth existenz doesn t but it lack the immediaci and intens of the matrix and then there is a happi end which like in dark citi complet alien it from the rest of the stori and context the plot itself is not as origin as the filmmak want us to think sinc they have virtual suck out all inform from the best scienc fiction classic includ blade runner and dark citi with thi in mind the thirteenth floor doesn t make an oscar candid or a film that will be rememb a year from now yet thi is a beauti eleg and intellig take on virtual realiti ,1,1
7,the parti is one of those classic slapstick comedi that will leav you at time crack up the film take place for the most part in real time dure an exclus even parti that is attend onli by the biggest name in hollywood hrundi v bakshi play veri well by peter seller is a struggl actor who just came to america from hi homeland india hrundi tri out hi act talent but it seem that he just isn t cut out for the job on the set of hi current film that he star in hrundi seem to make everyth go for the wors dure the film of thi movi set in the s hrundi manag to annoy the director herbert elli in ani way he can thi includ a piti act job in mani scene wear an underwat watch in one scene and accident deton a massiv set mani of the hollywood produc and big name want hrundi out of the busi forev and when the director make a person phone call to mr clutterbuck j edward mckinley plead for hrundi s eject from hollywood everyth is pretti much over for hrundi clutterbuck write hi name down on a piec of paper to insur that hrundi will never again work in hollywood but when thi piec of paper turn out to be the guest list for clutterbuck s exclus parti hrundi is invit and certain chao is bound to occur of cours as predict hrundi caus lot of troubl each scene in which hrundi encount a situat usual one that he can t handl is almost alway veri humor and each scene with hrundi and the drunken waiter who is alon hilari add to the comedi in a great way the parti can be compar to mani other film of it s type specif the trio of nake gun movi and the airplan movi but the parti is a delight movi that incorpor veri well play out comedi into believ situat it also includ a number of memor scene can anyon say birdi num num if you re in the mood for fun and enjoy slapstick comedi check out the parti it s not go to be one of your all time favorit but if you enjoy thi type of humor you ll enjoy the parti ,1,1
8,felix sami bouajila the sieg live a content life with hi boyfriend daniel pierr loup rajot in the littl town of diepp in northern franc when he is laid off from hi job after discov the address of the father who abandon him befor he wa born he decid to journey to marseil in the south to find the man he never met in the adventur of felix writer director olivi ducastel and jacqu martineau made their debut with the music comedi jeann and the perfect guy embrac that typic american genr their second effort the adventur of felix onc again borrow from america with a tale of a young man who hit the road to find himself felix is happi with hi life in diepp but when the ferri compani he work for fall prey to the econom of the chunnel he is out of a job and at loos end when he goe through hi late mother s paper he learn that the father he never knew is live in marseil hundr of mile away felix make the snap decis to journey to the south put togeth a suppli of cocktail for hi hiv viru kiss daniel goodby and head off on foot he refus to use train and want to avoid big citi as he hitchhik across franc to find hi destini along the way a seri of chanc encount with variou stranger teach felix that famili is not alway made up of blood relat on the road he wit a race relat mug that turn into murder and frighten for hi own safeti run away without tell the polic follow thi harrow experi he ha hi first chanc meet that begin the unconsci construct of hi ideal famili hi journey bring him to rouen and the film s first titl section my littl brother where he meet jule a young art student who becom smitten with felix they steal a car and develop a chast brotherli affect befor felix must move on he next meet elderli mathild patach in the chapter titl my grandmoth and soon learn that she too ha a fond for the same tv soap opera that felix ha grown addict to she want him to stay with her but he must continu on hi way to find hi father in the weakest chapter of felix s road trip titl my cousin he meet a railroad worker philipp garziano and ha a brief sexual encount befor head off onc again toward marseil he next help a strand ladi motorist isabel arian ascarid and shag a ride with her and her three kid each with a differ daddi in the sequenc titl my sister he is torn by the inner turmoil of not go to the polic about the murder he wit and isabel comfort him just as a sister would on the final leg of the journey titl my father he meet an older man a fisherman mauric benich who enlighten him about the real fact of life and famili while they fli felix s kite just like a father and son the adventur of felix ha a number of thing go for it as we follow felix on hi journey of discoveri first and foremost is the charm perform by sami bouajila as felix he is a likabl guy fight hi hiv with hi dose of cocktail and light up the screen as he make the long walk often with danc and song to find hi father and himself as he encount each member of hi new famili promis each that he will send a postcard when he arriv at hi final destin he grow a littl bit more spiritu and emot bouajila doe a terrif job hold center stage on the screen the cast of charact make up felix s new found famili are nearli as charm as the star each in their own way patach especi is wonder as the grandma charact and a kindr spirit to felix arian ascarid along with her kid give a perf that realli make you think of her as the sister that the young man never had onli the cousin chapter lack the emot depth of the rest and feel like a perfunctori addit to felix s famili the adventur of felix doe not reinvent the road movi but it doe provid a charismat tell of a young man s journey to find himself and to hi surpris hi discoveri is dramat differ than he expect at the begin it help that cinematograph matthieu poirot delpech s crisp lens compliment the stori perfectli as felix move across the french countrysid i give it a b ,1,1
9,i m not sure who the geniu is who came up with the idea of compar disturb behavior with scream mayb it s becaus they re both horror film kinda both have hot young star both have an annoy altern soundtrack and both are aim at the teenag crowd which i guess includ me but thi is not the next in line with the scream flick as well as the i know what you did last summer soon to be flick it owe less to halloween and more to kafka and orwel which in my book make for a more interest featur and it should have been thi is basic a rehash of the stepford wive the great s film i never saw star katherin ross and deal as i ve been told with a bunch of women who are program to be perfect housew or someth like that behavior star kati holm of dawson s creek deal with a bunch of teenag deep in angst who are be program to be perfect teenag suck up preppi it actual at least to me sound like it would work and with scott rosenberg that witti penmen who ha written stuff like beauti girl and thing to do in denver when you re dead as well as con air it actual sound like it may be pull off with the right amount of fright and satir wit ala it s not and it plumet into that littl group of movi known as the movi with potenti that blow it i rememb a film call white man s burden which dealt with a revers of black and white in societi that did noth with it s potenti brilliant premis here s anoth one it could be a brilliant satir on how teenag need to go through teen angst in order to find themselv it s a stage and thi film doe in fact realiz that it get it messag across and it doe it effortlessli now it just need to work as a film which it doesn t it s too sloppi and too contriv it paint a bleak portrait of high school life then let it lie it bring us a bunch of scari monster who are all a bunch of disgustingli icki kiss up who do food drive and hang out at a s diner drink milk shake then give it a cheap twist when they get horni they becom homicid isn t it scari enough that they re like thi and can t the real terror in the town be that you could be next to be just like them not that you could be next to die the film introduc us two three differ charact who in the begin are consid outsid becaus they re not yet part of thi cliqu the new kid steve jame marsden dull dull dull dull who s have troubl at home becaus he hasn t gotten over hi brother s ethan embri in quick flash so you don t recogn him i did suicid the renegad girl rachel kati holm from dawson s creek who s chief person trait is her promin nose ring and by far the most interest kid gavin nick stahl the kid from the man without a face who s the most interest becaus he s the onli charact who s given some dimens in the film s best scene he introduc steve to everi singl cliqu nail each one s fetish and hang up and it s the best scene in the movi becaus it s witti satir and interest someth the rest of thi film isn t gavin suspect there s someth awri with the preppi kid known as the blue ribbon and in the tradit of all conspir and even when he actual show hard pure evid to steve he s onli treat as a typic rave conspiraci buff here we have anoth case of the idiot plot where not onli could steve had done someth about gavin and what happen to him but he may have save thi film from be the dreari dull film that it is without gavin who give it life and humor the onli other half interest charact is the school janitor play by william sadler as a retard scari guy who may not be what he seem to be but realli we don t care anyway i probabl shouldn t mention that thi wa direct by david nutter who s work for the x file becaus that would probabl tarnish hi reput like the show he s good at set up weird conspiraci and creat a gener creepi feel most of thi film is shot at night and with dark eeri shadow for the maximum creepi effect and some of it work but what thi film is not so good at is come out with a good payoff he keep too much insid so much that when the charact journey to a mental institut in the third act you wonder whi they just don t get the hell out of there i think what happen to gavin is proof enough that there s someth rotten in the state of teen angstdom what thi film need to be is a lot longer a lot more color and a lot creepier if the best villain they can come up with is a guidanc counselor play by bruce greenwood an atom egoyan regular obvious just tri to pay the rent who still think he can get away with it even when most is reveal then they need to come up with a tougher smarter villain if he s so villain then whi could two dens teenag who couldn t figur out there wa someth go on until it wa way too late find inform on him in a coupl minut the film which run about or so minut just need to work on these thing and becom a lot less sloppi at such a short run time and with such lame bore charact as these it s pretti much obviou that leav thi film leav a horribl unsatisfi tast in one s mouth especi mine ,0,0
